Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","86","Grenade","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","591.018519","X","Sources internationales sûres",""
"MK","Indicateurs macro","86","Grenade","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","842.57037","X","Sources internationales sûres",""
"MK","Indicateurs macro","85","Groenland","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1558.759744","X","Sources internationales sûres",""
"MK","Indicateurs macro","85","Groenland","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","2684.94714","X","Sources internationales sûres",""
"MK","Indicateurs macro","89","Guatemala","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","21569.748083","X","Sources internationales sûres",""
"MK","Indicateurs macro","89","Guatemala","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","52996.447872","X","Sources internationales sûres",""
"MK","Indicateurs macro","90","Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4765.756665","X","Sources internationales sûres",""
"MK","Indicateurs macro","90","Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","8376.613912","X","Sources internationales sûres",""
"MK","Indicateurs macro","61","Guinée équatoriale","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3697.915667","X","Sources internationales sûres",""
"MK","Indicateurs macro","61","Guinée équatoriale","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","21942.553595","X","Sources internationales sûres",""
"MK","Indicateurs macro","175","Guinée-Bissau","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","476.38997","X","Sources internationales sûres",""
"MK","Indicateurs macro","175","Guinée-Bissau","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1045.790295","X","Sources internationales sûres",""
"MK","Indicateurs macro","91","Guyana","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","1513.671921","X","Sources internationales sûres",""
"MK","Indicateurs macro","91","Guyana","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4167.800936","X","Sources internationales sûres",""
"MK","Indicateurs macro","93","Haïti","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2826.697267","X","Sources internationales sûres",""
"MK","Indicateurs macro","93","Haïti","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","8384.566808","X","Sources internationales sûres",""
"MK","Indicateurs macro","95","Honduras","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","8233.819456","X","Sources internationales sûres",""
"MK","Indicateurs macro","95","Honduras","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","18499.729063","X","Sources internationales sûres",""
"MK","Indicateurs macro","97","Hongrie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","85302.016584","X","Sources internationales sûres",""
"MK","Indicateurs macro","97","Hongrie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","135411.698965","X","Sources internationales sûres",""
"MK","Indicateurs macro","36","Îles Caïmanes","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","3330.982385","X","Sources internationales sûres",""
"MK","Indicateurs macro","36","Îles Caïmanes","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","4477.417089","X","Sources internationales sûres",""
"MK","Indicateurs macro","47","Îles Cook","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","166.696568","X","Sources internationales sûres",""
"MK","Indicateurs macro","47","Îles Cook","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","289.201533","X","Sources internationales sûres",""
"MK","Indicateurs macro","127","Îles Marshall","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","127.248117","X","Sources internationales sûres",""
"MK","Indicateurs macro","127","Îles Marshall","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","192.305672","X","Sources internationales sûres",""
"MK","Indicateurs macro","25","Îles Salomon","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","314.257618","X","Sources internationales sûres",""
"MK","Indicateurs macro","25","Îles Salomon","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1052.663394","X","Sources internationales sûres",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","409.75364","X","Sources internationales sûres",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","740.777","X","Sources internationales sûres",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","813.093793","X","Sources internationales sûres",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","1032.787659","X","Sources internationales sûres",""
